Nombre,Categoría,Subcategoría,Tlf Fijo,Tlf Móvil,Mail,Web,Localidad,Whatsapp eviado,Mail enviado
LIMPIEZAS NOU NET CB,servicios,servicios profesionales,-1,-1,-1,-1,Vinaros,-1,-1
LEIVEN SISTEMAS ENERGETICOS SL,hogar y decoracion,decoracion e interiorismo,-1,-1,-1,-1,Vinaros,-1,-1
LA TORRE,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
LA TERTULIA,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
LA MOSSEGADA,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
LA LOLA,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
LA HACIENDA DEL MEXICANO,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
LA GAVINA,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
LA CULLERA,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
LA CUINA DE LAURA,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
LA CASA DEL VERMUT,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
KAOS VINAROS SCP,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
JOYERIA RUICAT,joyeria - relojeria,"joyerias, relojerias, compra-venta de oro",-1,-1,-1,-1,Vinaros,-1,-1
JORGE MOTORS,vehiculos,mantenimiento y reparacion de vehiculos,-1,-1,-1,-1,Vinaros,-1,-1
"JOB 2007, SC",hogar y decoracion,electricidad,-1,-1,-1,-1,Vinaros,-1,-1
JACK EL BARCO VINAROS SLU,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
INTERZOO,"flores, jardineria y animales",mascotas y accesorios,-1,-1,-1,-1,Vinaros,-1,-1
"INSTITUT OFTALMIC DE VINAROS, SL",salud y belleza,"servicios medicos (clinicas, ortopedia...)",-1,-1,-1,-1,Vinaros,-1,-1
INSTALACIONES RODRIGO FORNER SL,servicios,servicios profesionales,-1,-1,-1,-1,Vinaros,-1,-1
INMOLAIA,finanzas y gestion,servicios inmobiliarios,-1,-1,-1,-1,Vinaros,-1,-1
INMO MERA,finanzas y gestion,servicios inmobiliarios,-1,-1,-1,-1,Vinaros,-1,-1
IBERCAJA BANCO SA,finanzas y gestion,entidades financieras,-1,-1,-1,-1,Vinaros,-1,-1
HOTEL RESIDENCIA TERUEL SL,hosteleria y turismo,"hoteles, hostales y pensiones",-1,-1,-1,-1,Vinaros,-1,-1
GLOBUS PERECID SLU,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
"FUSTES GRInO, SL",mayoristas,mayoristas hogar,964455050,-1,-1,www.fustesgrino.com,Vinaros,-1,-1
FUSTERNEST,hogar y decoracion,carpinteria,-1,665385671,INFO@FUSTERNEST.COM,-1,Vinaros,-1,-1
FREIDURIA CHA SISCO,hosteleria y turismo,bar-cafeteria,-1,-1,CONTABILIDAD@CHASISCO.COM,www.chasiscovinaros.com,Vinaros,-1,-1
"FORN EL XUSQUET, SL",alimentacion,pan y pasteleria,-1,-1,-1,-1,Vinaros,-1,-1
FLEX CONCEPT by Milian,hogar y decoracion,muebles,-1,964450343,info@milian.es,-1,Vinaros,-1,-1
FLORISTERIA LA HOLANDESA,"flores, jardineria y animales","floristeria, jardineria y productos agricolas",-1,722233474,-1,-1,Vinaros,-1,-1
FIALA KITOUNI HOCINE,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,Vinaros,-1,-1
FARID PEIX I MARISC,alimentacion,pescados y mariscos,-1,-1,-1,www.mercatdevinaros.es/,Vinaros,-1,-1
ESMUVI,servicios,"servicios de formacion (autoescuelas, academias...)",-1,-1,-1,-1,Vinaros,-1,-1
ENIGMA I,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
ELECTROSERVEI VINAROS SL,hogar y decoracion,fontaneria,-1,-1,-1,-1,Vinaros,-1,-1
EL SOLET,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
EL LLAGAR DE ALMANU CB,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
"ECLIPSE MOBLES, SL",hogar y decoracion,muebles,964400797.96440159,-1,-1,-1,Vinaros,-1,-1
DESTELLOS DE MAR,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
CRISTALERIA RIPOLLES,hogar y decoracion,pinturas,-1,-1,-1,-1,Vinaros,-1,-1
COMPTATRIBUTS GLOBAL SL,finanzas y gestion,gestorias-asesorias,-1,-1,-1,-1,Vinaros,-1,-1
"COMERCIAL GEMAVI-IMPORT, SL",alimentacion,alimentacion en general,-1,-1,-1,-1,Vinaros,-1,-1
COMERCIAL ANTONMAR 2013 SLU,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
CET PARTNERS SL,finanzas y gestion,gestorias-asesorias,-1,-1,-1,-1,Vinaros,-1,-1
CENTROS COMERCIALES CARREFOUR SA (GASOLINERA),carburantes,gasolineras,914908900,-1,-1,-1,Vinaros,-1,-1
CENTRO ARAGONES,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
CENTRE INFANTIL LES JOGUINES,servicios,"servicios de formacion (autoescuelas, academias...)",-1,-1,-1,-1,Vinaros,-1,-1
CENTRE D ESTUDIS ALFA CB,servicios,"servicios de formacion (autoescuelas, academias...)",-1,-1,-1,-1,Vinaros,-1,-1
CASA LINA,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
CARNS VERGE SL,alimentacion,carnes / embutidos / huevos,-1,-1,-1,-1,Vinaros,-1,-1
"CAPISCO PIZZA, S.L.",hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
CAFE DEL TEMPS,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
BURGUER TEXAS,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
BUNGALOWS PASCUAL,hosteleria y turismo,"hoteles, hostales y pensiones",-1,618093792,mpascual54@hotmail.com,www.bungalows-pascual.com,Vinaros,-1,-1
BUGATTI,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
BUDDHA,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
BRICO COLOR,hogar y decoracion,pinturas,-1,-1,-1,-1,Vinaros,-1,-1
Biomon,alimentacion,alimentacion en general,-1,628935943,-1,biomon.es/,Vinaros,-1,-1
BINGO DE VINAROZ SA,mayoristas,mayoristas (otros),-1,-1,-1,-1,Vinaros,-1,-1
BELLA VITA PIZZERIA,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
BAZAR RUI LONG BAU,hogar y decoracion,hogar y decoracion en general,-1,-1,-1,-1,Vinaros,-1,-1
Ferretti | Heladeria & Creperia | Vinaros,hosteleria y turismo,heladeria-horchateria,964195427,-1,heladeriavinaros@gmail.com,ferretti-vinaros.negocio.site/,Vinaros,-1,-1
BAR PUERTO,hosteleria y turismo,restaurantes,964407817,-1,-1,-1,Vinaros,-1,-1
BAR TERRASA,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
BAR PETIT,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
BAR LA CARABASSA,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
BAR IRATI,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
BAR COSTA CALIDA,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
BANCO DE SABADELL SA,finanzas y gestion,entidades financieras,-1,-1,-1,-1,Vinaros,-1,-1
ARTCLINIC,salud y belleza,"servicios medicos (clinicas, ortopedia...)",964459139,-1,-1,artclinic.es,Vinaros,-1,-1
AUTOS MEDITERRANEO,servicios,"servicios de transporte (mensajeria, taxis...)",964401936,-1,TRAFICVINAROS@AUTOSMEDITERRANEO.COM,www.autosmediterraneo.com,Vinaros,-1,-1
CLAREL,drogueria - perfumeria,drogueria y productos de limpieza,-1,628771355,t73203es@clarel.eu,-1,Vinaros,-1,-1
CLAREL,drogueria - perfumeria,drogueria y productos de limpieza,-1,628771744,t73203es@clarel.eu,-1,Vinaros,-1,-1
GERMAN-NET,drogueria - perfumeria,drogueria y productos de limpieza,964456504,699546213,fanny.netegesgerman@hotmail.com,-1,Vinaros,-1,-1
CONSERVES  LO CARRERO,alimentacion,alimentacion en general,-1,667762415,perfmercedes@hotmail.com,-1,Vinaros,-1,-1
Son de Sabores,hosteleria y turismo,bar-cafeteria,-1,651500585,SonDeSaboresPeruanos@gmail.com,son-de-sabores.netlify.app,Vinaros,-1,-1
Mones Molina ABOGADOS,servicios,servicios profesionales,964828608,-1,info@monesmolinaabogados.com,monesmolinaabogados.com/,Vinaros,-1,-1
MERYN NAILS,salud y belleza,peluquerias y salones de belleza,-1,602935433,merynnails@gmail.com,-1,Vinaros,-1,-1
APP VINAROS SMARTCITY,servicios,"publicidad, marketing y eventos",-1,658681108,infoappvinaros@gmail.com,maestrapp.com/,Vinaros,-1,-1
PERRUQUERIA MOES,salud y belleza,peluquerias y salones de belleza,-1,680488442,-1,-1,Vinaros,-1,-1
POLLOS VIP,hosteleria y turismo,comidas para llevar,-1,633935787,-1,-1,Vinaros,-1,-1
TRAMITS ADMINISTRATIUS,finanzas y gestion,gestorias-asesorias,-1,655981241,info@tramitsadministratius.com,www.tugestoriaonline.com,Vinaros,-1,-1
"adberg / SEO, SEM, Disseny web i Estrategies de Comunicacio Digital",servicios,"publicidad, marketing y eventos",-1,611156254,alex@adberg.agency,-1,Vinaros,-1,-1
ESTACION DE SERVICIO VERDERA,carburantes,gasolineras,964401504,-1,-1,-1,Vinaros,-1,-1
CRANC,moda y complementos,moda y complementos en general,964452484,-1,-1,-1,Vinaros,-1,-1
ESCAYOLAS NINEROLA,servicios,"construccion, instalaciones y mantenimiento",977571178,-1,-1,www.bioplac.com,Vinaros,-1,-1
GASOLINERAS TORRES S.L.,carburantes,gasolineras,964400064,-1,-1,-1,Vinaros,-1,-1
CONSERVES EL MENU,alimentacion,pescados y mariscos,964400640,-1,-1,-1,Vinaros,-1,-1
TALLERES BLANCHADELL S.L.,vehiculos,mantenimiento y reparacion de vehiculos,964402851,-1,comercial@blanchadell.com,blanchadell.com,Vinaros,-1,-1
ELECTRODIESEL FISANT C.B.,vehiculos,mantenimiento y reparacion de vehiculos,964402799,-1,info@electrodieselfisant.com,electrodieselfisant.com,Vinaros,-1,-1
ALFE VINAROS S.L.,hogar y decoracion,material de construccion,964400825,-1,alfevinaros@yahoo.es,-1,Vinaros,-1,-1
COARVI,alimentacion,pescados y mariscos,964407025,667602286,-1,-1,Vinaros,-1,-1
CARTONAJES SERVOL SL,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",964402662,-1,cartonajesservol@gmail.com,-1,Vinaros,-1,-1
SERGIO VIVES ESTILISTA,salud y belleza,peluquerias y salones de belleza,-1,670203128,sergiotrendy@gmail.com,-1,Vinaros,-1,-1
FRUTERIA ISABEL,alimentacion,frutas y verduras,-1,-1,-1,-1,Vinaros,-1,-1
CARNICERIA CHARCUTERIA A. BUJ ALEGRE,alimentacion,carnes / embutidos / huevos,964454594,-1,-1,-1,Vinaros,-1,-1
ECOVINAROS,alimentacion,alimentacion en general,-1,663544770,-1,-1,Vinaros,-1,-1
HELADERIA MILANO,hosteleria y turismo,heladeria-horchateria,964454330,-1,asteriosolar@hotmail.com,-1,Vinaros,-1,-1
CALSAN MOTORS,vehiculos,compra-venta de vehiculos,964400254,-1,taller@calsan.es,-1,Vinaros,-1,-1
NOVACUINA,hogar y decoracion,cocinas y banos,-1,620024339,-1,-1,Vinaros,-1,-1
UNIPOST,servicios,"publicidad, marketing y eventos",964454611,640261241,-1,-1,Vinaros,-1,-1
MILA,alimentacion,pan y pasteleria,-1,660592795,-1,-1,Vinaros,-1,-1
BENETTON,moda y complementos,moda y complementos en general,-1,-1,-1,-1,Vinaros,-1,-1
JYSK,hogar y decoracion,muebles,964401014,-1,-1,-1,Vinaros,-1,-1
HORT AIGUA I OLIVA,alimentacion,alimentacion en general,-1,618317329,tienda@joanmsegura.es,fruteria.joanmsegura.es,Vinaros,-1,-1
FAUNIVET,"flores, jardineria y animales",clinicas veterinarias,-1,647882191,-1,-1,Vinaros,-1,-1
SUPERMERCADOS SABECO,carburantes,gasolineras,964407827,-1,-1,-1,Vinaros,-1,-1
GALVEZ | Pintura - Decoracion,hogar y decoracion,pinturas,964860914,-1,galvezpinturadecoracion@gmail.com,-1,Vinaros,-1,-1
SARA NAILS,drogueria - perfumeria,perfumeria especializada y belleza,-1,642813308,-1,-1,Vinaros,-1,-1
NAILS BY SORYNA,drogueria - perfumeria,perfumeria especializada y belleza,-1,681953895,SORINAG7@GMAIL.COM,-1,Vinaros,-1,-1
LA VIE,moda y complementos,moda mujer,-1,667061607,LAVIEVINAROS@GMAIL.COM,-1,Vinaros,-1,-1
HOME PETS,"flores, jardineria y animales",mascotas y accesorios,-1,623417221,homepetsvinaros@hotmail.com,-1,Vinaros,-1,-1
GUAPOS,moda y complementos,moda infantil y puericultura,964840438,676433234,MARIJOSEGUAPOS@HOTMAIL.COM,-1,Vinaros,-1,-1
F&F  PELUQUERIA,salud y belleza,peluquerias y salones de belleza,-1,698941226,ANGELAMARIN114@GMAIL.COM,-1,Vinaros,-1,-1
CLOE,moda y complementos,moda y complementos en general,-1,609041393,INFO@OTTO.CAT,-1,Vinaros,-1,-1
AL FIL DE LA REPUBLICA,moda y complementos,moda y complementos en general,-1,647785993,alfildelarepublica@gmail.com,www.alfildelarepublica.com,Vinaros,-1,-1
TOLDOS IREKA,servicios,"construccion, instalaciones y mantenimiento",964402433,616506959,TOLDOSIREKA@HOTMAIL.COM,-1,Vinaros,-1,-1
THE SECRET,moda y complementos,moda y complementos en general,-1,634087586,-1,-1,Vinaros,-1,-1
TAPIZADOS J&A,hogar y decoracion,textil hogar,-1,680766708,JATAPIZADOS@GMAIL.COM,-1,Vinaros,-1,-1
TALLERES VINASPORT SL,vehiculos,compra-venta de vehiculos,964453415,650914868,-1,-1,Vinaros,-1,-1
VOSTRES VIVERS,"flores, jardineria y animales","floristeria, jardineria y productos agricolas",964455014,640102224,-1,-1,Vinaros,-1,-1
UNIMOBEL2,hogar y decoracion,decoracion e interiorismo,964407074,-1,COCINAS@UNIMOBEL2.COM,www.unimobel2.com,Vinaros,-1,-1
TRANSPORTES MARTINEZ VINAROS,servicios,"servicios de transporte (mensajeria, taxis...)",964402064,653673850,TRANSMARTINEZVINAROA@GMAIL.COM,-1,Vinaros,-1,-1
TRACTOGARDEN,vehiculos,mantenimiento y reparacion de vehiculos,964400592,608048214,-1,-1,Vinaros,-1,-1
TALLERES JOSA,vehiculos,mantenimiento y reparacion de vehiculos,964400282,619170576,INFO@TALLERESJOSA.ES,-1,Vinaros,-1,-1
TALLERES GEIRA,servicios,"construccion, instalaciones y mantenimiento",964451219,600640917,-1,-1,Vinaros,-1,-1
SUKOMI VINAROS,hosteleria y turismo,restaurantes,-1,633168686,infovinaros@sukomi.es,-1,Vinaros,-1,-1
RESTAUTANTE VINAROM 148,hosteleria y turismo,restaurantes,964950826,641645534,-1,-1,Vinaros,-1,-1
PERSIANES I FUSTERIA MIRALLES,hogar y decoracion,carpinteria,964451656,639780402,-1,-1,Vinaros,-1,-1
PEREZ SEBASTIA DISTRIBUCIONS 2007,hogar y decoracion,pinturas,-1,658938454,PEREZSEBASTIA2007@GMAIL.COM,-1,Vinaros,-1,-1
PANADERIA PASTELERIA CASA ALQUEZA,alimentacion,pan y pasteleria,964456850,-1,panaderiablasin@gmail.com,-1,Vinaros,-1,-1
LA BOCANA CHA SISCO,hosteleria y turismo,restaurantes,-1,625750686,CONTABILIDAD@CHASISCI.COM,www.chasisco.com,Vinaros,-1,-1
Negocios Cerca de mi,servicios,"publicidad, marketing y eventos",-1,-1,-1,negocioscercademi.es/,Vinaros,-1,-1
MEGA STOCK,"informatica, imagen y sonido",electrodomesticos y electronica en general,-1,661140936,ALAN_BLO@HOTMAIL.COM,-1,Vinaros,-1,-1
MARTIN NAJAR SL,vehiculos,mantenimiento y reparacion de vehiculos,964452411,667717632,-1,-1,Vinaros,-1,-1
Marantha Art Floral,"flores, jardineria y animales","floristeria, jardineria y productos agricolas",-1,609655200,marantha.artfloral@gmail.com,-1,Vinaros,-1,-1
MANTENIMIENTOS TECNICOS VINAROS SL,servicios,"construccion, instalaciones y mantenimiento",964869523,656849654,-1,-1,Vinaros,-1,-1
MAIKBIKE VINAROS SL.,"ocio, deportes y aficiones",material deportivo,-1,695330764,MAIKELCASTEJON@HOTMAIL.COM,-1,Vinaros,-1,-1
LES CAPSADES,hosteleria y turismo,restaurantes,964109106,660056735,-1,-1,Vinaros,-1,-1
LA TASCA DE CHA SISCO,hosteleria y turismo,bar-cafeteria,-1,-1,CONTABILIDAD@CHASISCO.COM,www.chasisco.com,Vinaros,-1,-1
LA GALLINETA,moda y complementos,moda mujer,-1,626447801,SOCPATRI@GMAIL.COM,-1,Vinaros,-1,-1
LA BRASA CHA SISCO,hosteleria y turismo,restaurantes,964825649,-1,CONTABILIDAD@CHASISCO.COM,www.chasisco.com,Vinaros,-1,-1
L' ESTANCA,hosteleria y turismo,bar-cafeteria,964097688,699461512,-1,-1,Vinaros,-1,-1
JOYERIA  MARIA  ALBIOL,joyeria - relojeria,"joyerias, relojerias, compra-venta de oro",964450002,675037575,-1,-1,Vinaros,-1,-1
IXOS EBREQUALITAT,servicios,"construccion, instalaciones y mantenimiento",964402171,670099631,-1,-1,Vinaros,-1,-1
IL PANZEROTTO,hosteleria y turismo,restaurantes,-1,643274586,patricia.ferro@gmx.ch,-1,Vinaros,-1,-1
HIPER CASA,hogar y decoracion,hogar y decoracion en general,-1,62253227,1040506033@2QQ.COM,-1,Vinaros,-1,-1
GRUPO MAESTRAT CARPAS ESPECTACULOS Y EVENTOS SL,servicios,servicios profesionales,964455554,-1,INFO@GRUPOMAESTRAT.COM,-1,Vinaros,-1,-1
GRAN BAZAR YUAN MAO,hogar y decoracion,"artesania, ceramica, regalos y bazar",964456722,-1,-1,-1,Vinaros,-1,-1
"GASOLINERA LOW COST VINAROZ, SL",carburantes,gasolineras,960074932,-1,-1,-1,Vinaros,-1,-1
ERES CASA CONTEMPORANEA,hogar y decoracion,decoracion e interiorismo,964407118,-1,ERESVINAROS@GMAIL.COM,www.erescasacontemporanea.com,Vinaros,-1,-1
EL TANDEM ROJO,servicios,"publicidad, marketing y eventos",-1,647785993,maribel@eltandemrojo.net,eltandemrojo.net,Vinaros,-1,-1
EL BURLADERO CHA SISCO,hosteleria y turismo,bar-cafeteria,-1,-1,CONTABILIDAD@CHASISCO.COM,www.chasisco.com,Vinaros,-1,-1
DESGUACES VINAROS,vehiculos,recambios,964454571,608252525,-1,-1,Vinaros,-1,-1
"CONSAN PISCINAS, SL",servicios,"construccion, instalaciones y mantenimiento",964459943,630840672,-1,-1,Vinaros,-1,-1
CERRAJERIA VELA  LOPEZ,servicios,"construccion, instalaciones y mantenimiento",-1,615113390,VELA-INOX@HOTMAIL.COM,-1,Vinaros,-1,-1
CARNS QUEROL,alimentacion,carnes / embutidos / huevos,964400242,-1,GANYCARQUEROL@GMAIL.COM,www.canaletameat.com,Vinaros,-1,-1
BAR-RESTAURANT  LA PERDIU,hosteleria y turismo,restaurantes,-1,616068152,-1,-1,Vinaros,-1,-1
BAR CHEER' S,hosteleria y turismo,bar-cafeteria,-1,663868963,TUDORBARS@GMAIL.COM,-1,Vinaros,-1,-1
AUTOMECANICA  MOTORTEK,vehiculos,mantenimiento y reparacion de vehiculos,-1,637554271,TALLERESMOTORTEK@HOTMAIL.COM,-1,Vinaros,-1,-1
AUTOLAVADO GAVIMAR,vehiculos,mantenimiento y reparacion de vehiculos,-1,650053271,gavimarsalines@outlook.com,-1,Vinaros,-1,-1
TALLERES FEVIA,servicios,"construccion, instalaciones y mantenimiento",964402754,607929387,-1,-1,Vinaros,-1,-1
