web-scraper-order,web-scraper-start-url,id_local,id_local-href,tlf,mail,web,web2,cat,subcat,Localidad
1683624155-11,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/64,WASH-UP  (Lavanderia  Autoservicio),https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/washup-lavanderia-autoservicio,Móvil667010309,Emailmanuela.cervera@gmail.com,Webhttps://www.washup.es,,Servicios,Lavanderías,Vinaròs
1683624158-12,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/64,VICENT GUILLEM,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/vicent-guillem,Teléfono964450427,,,,Hogar y decoración,Fontanería,Vinaròs
1683624161-13,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/64,VERDERA SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/verdera-sl,Teléfono964401504,Móvil630794772,,,Carburantes,Gasolineras,Vinaròs
1683624164-14,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/64,TU PESCADERÍA .ES,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/tu-pescaderia-es,Móvil722821415,Whatsapp722821415,Emailinfo@tupescaderia.es,Tienda virtualhttps://tupescaderia.es/,Alimentación,Pescados y mariscos,Vinaròs
1683624167-15,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/64,TRUKCENTER,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/trukcenter,,,,TRUKCENTER,Hogar y decoración,Muebles,Vinaròs
1683624170-16,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/64,TRES REYES,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/tres-reyes,,,,,Hostelería y turismo,Restaurantes,Vinaròs
1683624173-17,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/64,TALLER JUAN BORDES,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/taller-juan-bordes-2,Teléfono964400773,Móvil601129949,Whatsapp601129949,EmailJUAN@TALLERJUANBORDES.COM,Vehículos,Mantenimiento y reparación de vehículos,Vinaròs
1683624176-18,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/64,SPRINTER MEGACENTROS DEL DEPORTE SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/sprinter-megacentros-deporte-sl-2,,,,,"Ocio, deportes y aficiones",Material deportivo,Vinaròs
1683624182-19,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/63,SHOOTERS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/shooters,,,,MATARO,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683624185-20,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/63,SHAIMA SALÓ DE PERRUQUERIA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/shaima-salo-perruqueria,,,,A Pretty Nails | VINAROS,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683624188-21,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/63,SERVIGROUP SERVICIOS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/servigroup-servicios,Teléfono964743457,Móvil634407606,Emailservigroupservicios@europe.com,Webhttp://www.servigroup.plisweb.com,Servicios,"Construcción, instalaciones y mantenimiento",Vinaròs
1683624191-22,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/63,"SERVEISCULTU COME DOWN, S.L.",https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/serveiscultu-come-down-sl,,,,FLUCTUARE SPA,Servicios,Servicios profesionales,Vinaròs
1683624194-23,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/63,SEDO TALLER DE JOYERIA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/sedo-taller-joyeria,,,,JOYERIA COPENHAGUE,Joyería - relojería,"Joyerías, relojerías, compra-venta de oro",Vinaròs
1683624197-24,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/63,SANSE PUB SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/sanse-pub-sl,,,,,Hostelería y turismo,Pubs y discotecas,Vinaròs
1683624200-25,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/63,RESTAURANTE CHINO FÉNIX,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/restaurante-chino-fenix,,,,RESTAURANT L'OLIVERA,Hostelería y turismo,Restaurantes,Vinaròs
1683624203-26,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/63,RESTAURANT COP DE MAR,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/restaurant-cop-mar,,,,TELEPIZZA,Hostelería y turismo,Restaurantes,Vinaròs
1683624206-27,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/63,RESTAURANT CASA JOSE,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/restaurant-casa-jose,,,,JACK EL BARCO VINAROS SLU,Hostelería y turismo,Restaurantes,Vinaròs
1683624209-28,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/63,RELVI CB,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/relvi-cb,,,,RELVI CB,Hogar y decoración,Muebles,Vinaròs
1683624212-29,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/63,RAQUEL PERRUQUERS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/raquel-perruquers,,,,PERRUQUERIA ROSA ELENA,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683624215-30,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/63,QUIMART CREATIVOS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/quim-art,Teléfono964744021,Emailinfo@quimartcreativos.com,Webhttps://www.quimartcreativos.com,EL TÁNDEM ROJO,Servicios,"Publicidad, marketing y eventos",Vinaròs
1683624221-31,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/62,QUE DE KE,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/que-ke,,,,BAR CAFETERÍA ESCAPE,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683624224-32,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/62,"PUB MILLENNIUM, SL",https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pub-millennium-sl,,,,,Hostelería y turismo,Pubs y discotecas,Vinaròs
1683624227-33,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/62,PROFESSIONAL ACADEMY OF ENGLISH SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/professional-academy-of-english-sl,,,,,Servicios,"Servicios de formación (autoescuelas, academias...)",Vinaròs
1683624230-34,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/62,"PRICE TOBON, EDNA ROCIO",https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/price-tobon-edna-rocio,,,,F&F  PELUQUERIA,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683624233-35,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/62,PRALINÉ,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/praline,,,,CA MASSITA,Alimentación,Pan y pastelería,Vinaròs
1683624236-36,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/62,"POZALVIN, S.L.",https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pozalvin-sl,,,,BAR EL ARCO,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683624239-37,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/62,POLLERIA TRES PONTETS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/polleria-tres-pontets,Teléfono964402071,,,,Hostelería y turismo,Comidas para llevar,Vinaròs
1683624242-38,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/62,PIZZERIA RESTAURANTE MISTRAL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pizzeria-restaurante-mistral,Teléfono964455018,,,LA BRASA CHA SISCO,Hostelería y turismo,Restaurantes,Vinaròs
1683624245-39,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/62,PIZZERIA LA ITALIANA CB,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pizzeria-italiana-cb,Teléfono964451690,,,PIZZERIA LA ITALIANA CB,Hostelería y turismo,Restaurantes,Vinaròs
1683624248-40,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/62,Pescados Y Mariscos Fresquet Srl,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pescados-y-mariscos-fresquet-srl,Teléfono964407234,Móvil658762033,Whatsapp658762033,Emailadministracion@pescafresquet.com.com,Alimentación,Alimentación en general,Vinaròs
1683624251-41,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/62,PESCA ADELL SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pesca-adell-sl,,,,CONSERVES EL MENÚ,Alimentación,Pescados y mariscos,Vinaròs
1683624254-42,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/62,PERRUQUERIA XARO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/perruqueria-xaro,,,,PERRUQURIA ANGELS,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683624260-43,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/61,PERRUQUERIA SABINA VIZCARRO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/perruqueria-sabina-vizcarro,,,,PERRUQUERIA VALENZUELA,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683624263-44,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/61,PERRUQUERIA ROSA ELENA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/perruqueria-rosa-elena,,,,PIVOT POINT ACADEMIA DE PERRUQUERIA,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683624266-45,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/61,PERRUQUERIA PILAR,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/perruqueria-pilar,,,,PERRUQUERIA ROSA BELIA,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683624269-46,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/61,PERRUQUERIA MARIA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/perruqueria-maria,,,,SERGIO VIVES ESTILISTA,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683624272-47,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/61,PERRUQUERIA JUAN ROJAS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/perruqueria-juan-rojas,Teléfono964456937,,,PERRUQUERIA MANOLI,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683624275-48,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/61,PENYA VALÈNCIA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/penya-valencia,,,,TAPABOKAS,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683624278-49,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/61,PEÑA TAURINA PAN Y TOROS DE VINAROZ,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pena-taurina-pan-y-toros-vinaroz,,,,BAR ALONDRA,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683624281-50,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/61,PEÑA MADRIDISTA VINARÒS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pena-madridista-vinaros,,,,BAR AMISTAD,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683624284-51,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/61,PEIXATERIA TREMENDO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/peixateria-tremendo,Móvil658520363,Webhttps://www.mercatdevinaros.es/,,PEIXATERIA LEOCADIA,Alimentación,Pescados y mariscos,Vinaròs
1683624287-52,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/61,PAULA ESCOBAR HAIR ESTHETIC,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/paula-escobar-hair-esthetic,Móvil722871137,Emailpaula.057@hotmail.com,,PELUQUERIA EBONY,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683624290-53,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/61,NORAUTO SA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/norauto-sa,,,,MARTIN NAJAR SL,Vehículos,Mantenimiento y reparación de vehículos,Vinaròs
1683624293-54,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/61,MATARO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/mataro,,,,MOODS,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683624299-55,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/60,MARMOLES SOSPEDRA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/marmoles-sospedra,Teléfono964400352,Móvil639766373,EmailMARMOLESSOSPEDRA@GMAIL.COM,MARMOLES SOSPEDRA,Mayoristas,Mayoristas (otros),Vinaròs
1683624302-56,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/60,LOS ARCOS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/los-arcos,,,,BAR-RESTAURANT  LA PERDIU,Hostelería y turismo,Restaurantes,Vinaròs
1683624305-57,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/60,LOGROS CUINES CB,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/logros-cuines-cb,,,,,Hogar y decoración,Cocinas y baños,Vinaròs
1683624308-58,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/60,LLIBRERIA OBREDA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/llibreria-obreda,,,,,"Papelería, librería y quioscos","Papelería, librería, prensa y quioscos",Vinaròs
1683624311-59,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/60,LITOCOLOR LINEART,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/litocolor-lineart,Teléfono964401300,EmailLITOCOLOR@LINEART.ES,Webhttps://www.lineart.es,,Servicios,"Publicidad, marketing y eventos",Vinaròs
1683624314-60,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/60,LIMPIEZAS NOU NET CB,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/limpiezas-nou-net-cb,,,,,Servicios,Servicios profesionales,Vinaròs
1683624317-61,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/60,LEIVEN SISTEMAS ENERGETICOS SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/leiven-sistemas-energeticos-sl,,,,,Hogar y decoración,Decoración e interiorismo,Vinaròs
1683624320-62,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/60,LA TORRE,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/la-torre,,,,BAR L'ILLA,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683624324-63,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/60,LA TERTULIA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/la-tertulia,,,,LA TERTULIA,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683624327-64,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/60,LA MOSSEGADA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/la-mossegada,,,,LA MOSSEGADA,Hostelería y turismo,Restaurantes,Vinaròs
1683624330-65,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/60,LA LOLA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/la-lola,,,,EL PASSATGE,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683624333-66,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/60,LA HACIENDA DEL MEXICANO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/la-hacienda-mexicano,,,,LA MOSSEGADA,Hostelería y turismo,Restaurantes,Vinaròs
1683624339-67,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/59,LA GAVINA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/la-gavina,,,,PENYA VALÈNCIA,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683624342-68,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/59,LA CULLERA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/la-cullera,,,,LA HACIENDA DEL MEXICANO,Hostelería y turismo,Restaurantes,Vinaròs
1683624345-69,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/59,LA CUINA DE LAURA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/la-cuina-laura,,,,COMERCIAL ANTONMAR 2013 SLU,Hostelería y turismo,Restaurantes,Vinaròs
1683624348-70,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/59,LA CASA DEL VERMUT,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/la-casa-vermut,,,,BAR-RESTAURANT  LA PERDIU,Hostelería y turismo,Restaurantes,Vinaròs
1683624351-71,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/59,KAOS VINAROS SCP,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/kaos-vinaros-scp,,,,EL BURLADERO CHA SISCO,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683624354-72,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/59,JOYERIA RUICAT,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/joyeria-ruicat,,,,JOYERIA COPENHAGUE,Joyería - relojería,"Joyerías, relojerías, compra-venta de oro",Vinaròs
1683624357-73,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/59,JORGE MOTORS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/jorge-motors,,,,,Vehículos,Mantenimiento y reparación de vehículos,Vinaròs
1683624360-74,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/59,"JOB 2007, SC",https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/job-2007-sc,,,,,Hogar y decoración,Electricidad,Vinaròs
1683624363-75,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/59,JACK EL BARCO VINAROS SLU,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/jack-barco-vinaros-slu,,,,LA MOSSEGADA,Hostelería y turismo,Restaurantes,Vinaròs
1683624366-76,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/59,INTERZOO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/interzoo-11,,,,,"Flores, jardinería y animales",Mascotas y accesorios,Vinaròs
1683624369-77,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/59,"INSTITUT OFTALMIC DE VINAROS, SL",https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/institut-oftalmic-vinaros-sl,,,,,Salud y belleza,"Servicios médicos (clínicas, ortopedia...)",Vinaròs
1683624372-78,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/59,INSTALACIONES RODRIGO FORNER SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/instalaciones-rodrigo-forner-sl,,,,GRUPO MAESTRAT CARPAS ESPECTACULOS Y EVENTOS SL,Servicios,Servicios profesionales,Vinaròs
1683624378-79,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/58,INMOLAIA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/inmolaia,,,,INMOBILIARIA PAÍS VALENCIÀ,Finanzas y gestión,Servicios inmobiliarios,Vinaròs
1683624381-80,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/58,INMO MERA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/inmo-mera,,,,INMOBILIARIA SAN FRANCISCO,Finanzas y gestión,Servicios inmobiliarios,Vinaròs
1683624384-81,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/58,IBERCAJA BANCO SA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/ibercaja-banco-sa,,,,,Finanzas y gestión,Entidades financieras,Vinaròs
1683624387-82,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/58,HOTEL RESIDENCIA TERUEL SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/hotel-residencia-teruel-sl,,,,,Hostelería y turismo,"Hoteles, hostales y pensiones",Vinaròs
1683624390-83,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/58,GLOBUS PERECID SLU,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/globus-perecid-slu,,,,BAR PUERTO,Hostelería y turismo,Restaurantes,Vinaròs
1683624393-84,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/58,"FUSTES GRIñO, SL",https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/fustes-grino-sl,Teléfono964455050,Webhttps://www.fustesgriño.com,,,Mayoristas,Mayoristas hogar,Vinaròs
1683624396-85,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/58,FUSTERNEST,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/fusternest,Móvil665385671,Whatsapp665385671,EmailINFO@FUSTERNEST.COM,Webhttps://www.fusternest.com,Hogar y decoración,Carpintería,Vinaròs
1683624399-86,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/58,FREIDURIA CHA SISCO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/freiduria-cha-sisco,EmailCONTABILIDAD@CHASISCO.COM,Webhttps://www.chasiscovinaros.com,,SHOOTERS,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683624402-87,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/58,"FORN EL XUSQUET, SL",https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/forn-xusquet-sl,,,,PRALINÉ,Alimentación,Pan y pastelería,Vinaròs
1683624405-88,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/58,FLEX CONCEPT by Milian,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/flex-concept-by-milian,Teléfono661921199,Móvil964450343,Emailinfo@milian.es,FLEX CONCEPT by Milian,Hogar y decoración,Muebles,Vinaròs
1683624408-89,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/58,FLORISTERIA LA HOLANDESA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/floristeria-holandesa,Teléfono722233474,,,VOSTRES VIVERS,"Flores, jardinería y animales","Floristería, jardinería y productos agrícolas",Vinaròs
1683624411-90,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/58,FIALA KITOUNI HOCINE,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/fiala-kitouni-hocine,,,,PELUQUERÍA ANA LÓPEZ,Salud y belleza,Peluquerías y salones de belleza,Vinaròs
1683624418-91,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/57,FARID PEIX I MARISC,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/farid-peix-i-marisc,Webhttps://www.mercatdevinaros.es/,,,,Alimentación,Pescados y mariscos,Vinaròs
1683624421-92,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/57,ESMUVI,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/esmuvi,,,,,Servicios,"Servicios de formación (autoescuelas, academias...)",Vinaròs
1683624424-93,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/57,ENIGMA I,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/enigma-i,,,,RINCÓN DO GALIZA,Hostelería y turismo,Bar-Cafeteria,Vinaròs
1683624427-94,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/57,ELECTROSERVEI VINAROS SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/electroservei-vinaros-sl,,,,,Hogar y decoración,Fontanería,Vinaròs
